GUID,GEOGID,GEOGDESC,Reference Geography,LA_GUID,LOCAL_AUTHORITY,LA_CODE,COUNTY,CONTAE,PROVINCE,NUTS3,NUTS3_NAME,NUTS2,NUTS2_NAME,NUTS1,NUTS1_NAME,Total - Females (Normalisation),Total - Males (Normalisation),Total Population (Normalisation),Occupied (Normalisation),Temporarily absent (Normalisation),Unoccupied holiday homes (Normalisation),Other vacant dwellings (Normalisation),Total dwellings (Normalisation),AREA,Area unit of measure,Shape__Area,Shape__Length,GUID,Age 0 - Males,Age 1 - Males,Age 2 - Males,Age 3 - Males,Age 4 - Males,Age 5 - Males,Age 6 - Males,Age 7 - Males,Age 8 - Males,Age 9 - Males,Age 10 - Males,Age 11 - Males,Age 12 - Males,Age 13 - Males,Age 14 - Males,Age 15 - Males,Age 16 - Males,Age 17 - Males,Age 18 - Males,Age 19 - Males,Age 20 - 24 - Males,Age 25 - 29 - Males,Age 30 - 34 - Males,Age 35 - 39 - Males,Age 40 - 44 - Males,Age 45 - 49 - Males,Age 50 - 54 - Males,Age 55 - 59 - Males,Age 60 - 64 - Males,Age 65 - 69 - Males,Age 70 - 74 - Males,Age 75 - 79 - Males,Age 80 - 84 - Males,Age 85 and over - Males,Total - Males,Age 0 - Females,Age 1 - Females,Age 2 - Females,Age 3 - Females,Age 4 - Females,Age 5 - Females,Age 6 - Females,Age 7 - Females,Age 8 - Females,Age 9 - Females,Age 10 - Females,Age 11 - Females,Age 12 - Females,Age 13 - Females,Age 14 - Females,Age 15 - Females,Age 16 - Females,Age 17 - Females,Age 18 - Females,Age 19 - Females,Age 20 - 24 - Females,Age 25 - 29 - Females,Age 30 - 34 - Females,Age 35 - 39 - Females,Age 40 - 44 - Females,Age 45 - 49 - Females,Age 50 - 54 - Females,Age 55 - 59 - Females,Age 60 - 64 - Females,Age 65 - 69 - Females,Age 70 - 74 - Females,Age 75 - 79 - Females,Age 80 - 84 - Females,Age 85 and over - Females,Total - Females,Age 0 - Total,Age 1 - Total,Age 2 - Total,Age 3 - Total,Age 4 - Total,Age 5 - Total,Age 6 - Total,Age 7 - Total,Age 8 - Total,Age 9 - Total,Age 10 - Total,Age 11 - Total,Age 12 - Total,Age 13 - Total,Age 14 - Total,Age 15 - Total,Age 16 - Total,Age 17 - Total,Age 18 - Total,Age 19 - Total,Age 20 - 24 - Total,Age 25 - 29 - Total,Age 30 - 34 - Total,Age 35 - 39 - Total,Age 40 - 44 - Total,Age 45 - 49 - Total,Age 50 - 54 - Total,Age 55 - 59 - Total,Age 60 - 64 - Total,Age 65 - 69 - Total,Age 70 - 74 - Total,Age 75 - 79 - Total,Age 80 - 84 - Total,Age 85 and over - Total,Total,ObjectId
2ae19629-149a-13a3-e055-000000000001,WD,WD,ADMINISTRATIVE_COUNTIES_2019,2ae19629-149a-13a3-e055-000000000001,WATERFORD CITY AND COUNTY COUNCIL,WD,WATERFORD,Port Láirge,Munster,IE052,South-East,IE05,Southern,IE0,Ireland,64268,63095,127363,47976,853,2147,3871,54847,1858,Sq KM,1857827372.84134,400184.69991239,2ae19629-149a-13a3-e055-000000000001,678,664,664,755,756,787,847,848,916,901,904,934,984,942,960,954,945,863,882,826,3768,3163,3599,4164,4818,4479,4259,4166,3601,3197,2633,2085,1243,910,63095,662,602,665,721,634,728,780,841,820,826,871,943,949,985,896,872,866,862,817,767,3559,3254,3865,4663,5074,4693,4285,4116,3688,3150,2761,2207,1430,1416,64268,1340,1266,1329,1476,1390,1515,1627,1689,1736,1727,1775,1877,1933,1927,1856,1826,1811,1725,1699,1593,7327,6417,7464,8827,9892,9172,8544,8282,7289,6347,5394,4292,2673,2326,127363,1
2ae19629-1497-13a3-e055-000000000001,RN,RN,ADMINISTRATIVE_COUNTIES_2019,2ae19629-1497-13a3-e055-000000000001,ROSCOMMON COUNTY COUNCIL,RN,ROSCOMMON,Ros Comáin,Connacht,IE042,West,IE04,Northern and Western,IE0,Ireland,35089,35170,70259,26097,426,1327,4279,32129,2547,Sq KM,2547168666.67206,423737.256838059,2ae19629-1497-13a3-e055-000000000001,382,380,465,441,427,471,450,507,512,546,524,553,508,549,523,511,503,481,487,373,1686,1514,1781,2278,2523,2501,2409,2349,2180,2061,1678,1267,738,612,35170,366,384,428,418,406,442,473,504,470,483,484,505,539,488,473,491,511,482,412,355,1567,1455,1872,2475,2689,2430,2323,2273,2206,1974,1665,1247,847,952,35089,748,764,893,859,833,913,923,1011,982,1029,1008,1058,1047,1037,996,1002,1014,963,899,728,3253,2969,3653,4753,5212,4931,4732,4622,4386,4035,3343,2514,1585,1564,70259,2
2ae19629-14a4-13a3-e055-000000000001,DL,DL,ADMINISTRATIVE_COUNTIES_2019,2ae19629-14a4-13a3-e055-000000000001,DONEGAL COUNTY COUNCIL,DL,DONEGAL,Dún na nGall,Ulster,IE041,Border,IE04,Northern and Western,IE0,Ireland,84289,82795,167084,62357,1533,12485,9615,85990,4861,Sq KM,4860834746.37497,1531424.25569035,2ae19629-14a4-13a3-e055-000000000001,916,963,988,1030,1042,1079,1163,1137,1224,1222,1277,1330,1332,1377,1329,1271,1292,1236,1175,930,4328,3692,4360,5112,5908,5889,5794,5272,4681,4500,3877,3044,1832,1193,82795,881,918,983,1044,1047,1095,1061,1075,1095,1169,1233,1254,1292,1255,1281,1202,1149,1130,1110,883,4044,3744,4772,5635,6386,6040,5841,5474,5019,4380,3894,2992,1984,1927,84289,1797,1881,1971,2074,2089,2174,2224,2212,2319,2391,2510,2584,2624,2632,2610,2473,2441,2366,2285,1813,8372,7436,9132,10747,12294,11929,11635,10746,9700,8880,7771,6036,3816,3120,167084,3
2ae19629-148f-13a3-e055-000000000001,LK,LK,ADMINISTRATIVE_COUNTIES_2019,2ae19629-148f-13a3-e055-000000000001,LIMERICK CITY AND COUNTY COUNCIL,LK,LIMERICK,Luimneach,Munster,IE051,Mid-West,IE05,Southern,IE0,Ireland,105084,104452,209536,76756,1315,651,6641,85363,2755,Sq KM,2754815219.68509,379403.985873808,2ae19629-148f-13a3-e055-000000000001,1116,1148,1243,1193,1240,1294,1304,1332,1408,1462,1476,1492,1521,1516,1453,1409,1436,1391,1396,1467,6955,6222,6395,7352,7942,7536,6915,6157,5732,5183,4432,3182,1874,1278,104452,1049,1087,1130,1159,1227,1190,1317,1271,1362,1363,1392,1487,1362,1435,1445,1335,1291,1224,1305,1422,6727,6291,6675,7900,8191,7340,6601,6171,5696,5119,4531,3578,2319,2092,105084,2165,2235,2373,2352,2467,2484,2621,2603,2770,2825,2868,2979,2883,2951,2898,2744,2727,2615,2701,2889,13682,12513,13070,15252,16133,14876,13516,12328,11428,10302,8963,6760,4193,3370,209536,4
2ae19629-1493-13a3-e055-000000000001,MO,MO,ADMINISTRATIVE_COUNTIES_2019,2ae19629-1493-13a3-e055-000000000001,MAYO COUNTY COUNCIL,MO,MAYO,Maigh Eo,Connacht,IE042,West,IE04,Northern and Western,IE0,Ireland,69578,68392,137970,52421,952,5987,8922,68282,5587,Sq KM,5586563024.39868,1525069.56716814,2ae19629-1493-13a3-e055-000000000001,790,776,795,814,842,880,917,924,931,978,968,1015,1000,969,974,929,945,946,873,734,3168,2930,3582,4442,4774,4647,4650,4559,4387,4157,3699,2683,1552,1162,68392,730,790,731,743,751,832,847,874,861,908,939,960,962,919,942,911,933,885,876,684,3100,2886,3810,4749,5215,4792,4689,4669,4515,4144,3602,2618,1792,1919,69578,1520,1566,1526,1557,1593,1712,1764,1798,1792,1886,1907,1975,1962,1888,1916,1840,1878,1831,1749,1418,6268,5816,7392,9191,9989,9439,9339,9228,8902,8301,7301,5301,3344,3081,137970,5
2ae19629-149d-13a3-e055-000000000001,CN,CN,ADMINISTRATIVE_COUNTIES_2019,2ae19629-149d-13a3-e055-000000000001,CAVAN COUNTY COUNCIL,CN,CAVAN,An Cabhán,Ulster,IE041,Border,IE04,Northern and Western,IE0,Ireland,40644,41060,81704,28890,440,1074,4023,34427,1931,Sq KM,1931226407.01291,368053.326201194,2ae19629-149d-13a3-e055-000000000001,505,527,541,560,555,599,585,607,602,687,651,704,645,709,641,628,611,596,574,479,2203,1999,2273,2870,3105,2830,2789,2590,2265,1998,1681,1178,712,561,41060,501,477,520,525,492,544,591,555,615,602,661,624,672,634,621,643,550,590,533,436,2029,1912,2414,3106,3229,2859,2695,2451,2192,1961,1591,1221,744,854,40644,1006,1004,1061,1085,1047,1143,1176,1162,1217,1289,1312,1328,1317,1343,1262,1271,1161,1186,1107,915,4232,3911,4687,5976,6334,5689,5484,5041,4457,3959,3272,2399,1456,1415,81704,6
2ae19629-14a7-13a3-e055-000000000001,KE,KE,ADMINISTRATIVE_COUNTIES_2019,2ae19629-14a7-13a3-e055-000000000001,KILDARE COUNTY COUNCIL,KE,KILDARE,Cill Dara,Leinster,IE062,Mid-East,IE06,Eastern and Midland,IE0,Ireland,124510,123264,247774,82787,1480,202,4528,88997,1694,Sq KM,1694186405.58243,292290.330654752,2ae19629-14a7-13a3-e055-000000000001,1550,1535,1543,1611,1704,1692,1784,1879,1926,1939,1985,2127,2057,2058,2037,1933,1803,1884,1888,1744,7650,6428,7315,9266,10516,9700,8672,7091,5785,4925,3955,2943,1396,943,123264,1455,1452,1559,1509,1563,1604,1722,1776,1773,1893,1890,1954,1984,1909,1907,1817,1713,1734,1708,1746,7158,6524,8078,10248,10933,9862,8419,7209,5853,5138,4182,2960,1717,1561,124510,3005,2987,3102,3120,3267,3296,3506,3655,3699,3832,3875,4081,4041,3967,3944,3750,3516,3618,3596,3490,14808,12952,15393,19514,21449,19562,17091,14300,11638,10063,8137,5903,3113,2504,247774,7
2ae19629-14a6-13a3-e055-000000000001,KY,KY,ADMINISTRATIVE_COUNTIES_2019,2ae19629-14a6-13a3-e055-000000000001,KERRY COUNTY COUNCIL,KY,KERRY,Ciarraí,Munster,IE053,South-West,IE05,Southern,IE0,Ireland,79071,77387,156458,58798,1124,8896,8487,77305,4805,Sq KM,4805097206.60768,1274237.88665783,2ae19629-14a6-13a3-e055-000000000001,822,811,848,867,876,938,945,1011,957,1071,1043,1042,1165,1107,1102,1092,988,1057,985,880,3937,3551,3990,4855,5825,5625,5583,5147,4936,4547,4019,3004,1653,1108,77387,843,739,803,847,844,935,903,946,919,1000,1023,1074,1090,1087,1098,1036,1019,1046,943,798,3846,3496,4281,5605,6162,5720,5451,5262,5019,4552,3904,3048,1928,1804,79071,1665,1550,1651,1714,1720,1873,1848,1957,1876,2071,2066,2116,2255,2194,2200,2128,2007,2103,1928,1678,7783,7047,8271,10460,11987,11345,11034,10409,9955,9099,7923,6052,3581,2912,156458,8
2ae19629-149e-13a3-e055-000000000001,WW,WW,ADMINISTRATIVE_COUNTIES_2019,2ae19629-149e-13a3-e055-000000000001,WICKLOW COUNTY COUNCIL,WW,WICKLOW,Cill Mhantáin,Leinster,IE062,Mid-East,IE06,Eastern and Midland,IE0,Ireland,79287,76564,155851,54246,1063,986,3334,59629,2025,Sq KM,2025318992.39435,307673.341111477,2ae19629-149e-13a3-e055-000000000001,910,862,906,976,1010,1063,1090,1152,1132,1203,1183,1247,1261,1294,1246,1195,1077,1168,997,965,4193,3439,4000,5162,6178,5959,5399,4841,4267,3524,3053,2374,1336,902,76564,800,820,890,886,887,1013,1026,1045,1105,1161,1139,1292,1264,1153,1238,1125,1054,1064,1015,900,3748,3628,4526,6017,6822,6150,5528,5086,4433,3753,3211,2509,1557,1442,79287,1710,1682,1796,1862,1897,2076,2116,2197,2237,2364,2322,2539,2525,2447,2484,2320,2131,2232,2012,1865,7941,7067,8526,11179,13000,12109,10927,9927,8700,7277,6264,4883,2893,2344,155851,9
2ae19629-148e-13a3-e055-000000000001,LM,LM,ADMINISTRATIVE_COUNTIES_2019,2ae19629-148e-13a3-e055-000000000001,LEITRIM COUNTY COUNCIL,LM,LEITRIM,Liatroim,Connacht,IE041,Border,IE04,Northern and Western,IE0,Ireland,17646,17553,35199,13713,258,1704,2807,18482,1588,Sq KM,1587955034.35114,314059.04402584,2ae19629-148e-13a3-e055-000000000001,200,204,224,240,223,229,232,254,254,284,245,266,256,259,265,265,265,270,229,162,825,734,847,1111,1280,1236,1223,1153,1094,1053,878,641,370,282,17553,204,202,229,192,227,218,236,239,255,258,257,265,276,238,230,263,229,226,220,167,719,701,1023,1206,1358,1244,1239,1152,1024,1036,839,629,415,430,17646,404,406,453,432,450,447,468,493,509,542,502,531,532,497,495,528,494,496,449,329,1544,1435,1870,2317,2638,2480,2462,2305,2118,2089,1717,1270,785,712,35199,10
